fips,Year,PerCapitaIncome,UnemploymentRate,PovertyRate,MedianIncome,Rent,BachelorsOrHigher,WhiteAlone,BlackAlone,HispanicLatino,Population,RepublicanVoteShare,DemocratVoteShare,RepublicanMargin,DrugDeaths,DrugDeathRate,SuicideDeaths,SuicideRate,MentalHealthScore,PoliticalLean
1001,2021,49174.0,2.8,10.7,66444.0,1381.6542826945422,28.131468672691472,75.13006748055426,19.694706296468,3.0477858479712907,58239.0,71.4368023046453,27.018365142239823,44.41843716240547,10.0,,13.0,,24.93859367867065,Strong Republican
1001,2022,49811.0,2.2,11.8,70148.0,1428.4481460288423,29.558574698915095,74.44903932880652,19.563996528309595,3.172172018856044,58761.0,71.4368023046453,27.018365142239823,44.41843716240547,10.0,,,,24.93859367867065,Strong Republican
1001,2023,53079.0,2.2,11.7,68857.0,1494.997188455876,29.558574698915095,74.44903932880652,19.563996528309595,3.172172018856044,58761.0,71.4368023046453,27.018365142239823,44.41843716240547,10.0,,10.0,,24.93859367867065,Strong Republican
1003,2018,45840.0,3.6,9.8,57588.0,1122.611632715332,31.345883025260395,86.26619959924462,9.497037581628682,4.494322632107521,208107.0,76.5457123352413,19.3856010082445,57.160111326996805,25.0,11.466732715,44.0,20.181449579,26.233383532588338,Strong Republican
1003,2019,47921.0,2.9,10.1,59871.0,1170.037567360366,31.862459632590394,86.20542216792745,9.264671333928488,4.562796598223935,212830.0,76.5457123352413,19.3856010082445,57.160111326996805,31.0,13.88677352,39.0,17.470457009,26.233383532588338,Strong Republican
1003,2020,50895.0,6.1,8.9,71135.0,1220.2791196479386,31.907330149200003,85.43902807745695,8.774148033112066,4.556803137125554,218289.0,76.17137282433283,22.409029987509005,53.762342836823834,57.0,24.859673684,51.0,22.242865928,26.233383532588338,Strong Republican
1003,2021,56285.0,2.9,10.8,65658.0,1414.6144356801335,32.45028615173759,84.5476839357023,8.759262275955287,4.681879620131114,227131.0,76.17137282433283,22.409029987509005,53.762342836823834,84.0,35.103262096,41.0,17.133735071,26.233383532588338,Strong Republican
1003,2022,57621.0,2.3,12.4,71704.0,1566.7520871052532,32.561578714181366,83.9679547596607,8.330477251306657,4.802501927855368,233420.0,76.17137282433283,22.409029987509005,53.762342836823834,74.0,30.028202163,47.0,19.071966239,26.233383532588338,Strong Republican
1003,2023,60969.0,2.3,10.0,74248.0,1616.1954124692736,32.561578714181366,83.9679547596607,8.330477251306657,4.802501927855368,233420.0,76.17137282433283,22.409029987509005,53.762342836823834,72.0,28.401582599,51.0,20.117787675,26.233383532588338,Strong Republican
1005,2022,41031.0,4.0,26.7,41151.0,,11.88118811881188,45.45966153475097,46.90276158700808,4.831772319813482,24877.0,53.45122646891044,45.78817265639856,7.663053812511883,11.0,,,,19.888402340389817,Swing
1007,2023,39835.0,2.5,19.4,56025.0,,10.919937205651491,75.8258055817716,20.68671070963103,2.9212170239539796,22251.0,78.42626367899948,20.698280354351223,57.72798332464825,10.0,,,,23.744128319561916,Strong Republican
1009,2020,37764.0,4.5,13.1,55203.0,,13.251620033154165,93.967621850922,1.3990130724612586,9.284044671457018,57755.0,89.5715528490648,9.569377990430622,80.00217485863418,14.0,,13.0,,18.34003644157045,Strong Republican
1009,2021,42975.0,2.4,12.0,56894.0,,14.903609717714172,92.45126010461246,1.2906731879627744,9.530602540588276,58884.0,89.5715528490648,9.569377990430622,80.00217485863418,16.0,,14.0,,18.34003644157045,Strong Republican
1009,2022,44063.0,2.2,13.6,60553.0,,14.741406766788348,91.30626131997224,1.2339827682516038,9.683971765661765,59077.0,89.5715528490648,9.569377990430622,80.00217485863418,17.0,,14.0,,18.34003644157045,Strong Republican
1009,2023,45021.0,2.1,12.8,64962.0,,14.741406766788348,91.30626131997224,1.2339827682516038,9.683971765661765,59077.0,89.5715528490648,9.569377990430622,80.00217485863418,21.0,35.107663501,12.0,,18.34003644157045,Strong Republican
1011,2021,34068.0,3.9,32.1,32027.0,,11.691144394358004,24.76410552667052,68.97746967071056,8.54997111496245,10386.0,24.842835464990245,74.70192933015392,-49.85909386516367,0.0,,,,31.198544945530926,Strong Democrat
1011,2023,36061.0,2.4,33.6,36204.0,,9.376746785913918,23.20875290472502,68.90975987606507,8.781951975213014,10328.0,24.842835464990245,74.70192933015392,-49.85909386516367,11.0,,,,31.198544945530926,Strong Democrat
1013,2018,36547.0,4.7,24.5,37365.0,,16.09302995391705,52.004993757802744,45.21847690387016,0.3345817727840199,20025.0,56.12688960146587,42.67063673843335,13.456252863032518,0.0,,,,23.830234804710877,Strong Republican
1015,2018,35643.0,4.6,19.5,45400.0,,17.968029316989952,74.33491459451945,20.57029661679612,3.651670750143357,115098.0,68.66329600534849,27.665886678923616,40.99740932642487,15.0,,25.0,21.876668096,23.92149261269036,Strong Republican
1015,2019,36761.0,3.7,17.2,47747.0,,18.48106386206199,73.66992967945698,20.7908007468286,3.7969603378177945,114618.0,68.66329600534849,27.665886678923616,40.99740932642487,22.0,19.365344835,19.0,,23.92149261269036,Strong Republican
1015,2020,39562.0,7.7,14.5,50259.0,,18.85597781351704,73.30131905811554,21.15916168083692,3.85395892376054,114324.0,68.84843967597043,29.845242531824333,39.00319714414609,30.0,26.43893927,28.0,24.676343318,23.92149261269036,Strong Republican
1015,2021,43215.0,4.0,19.2,48166.0,,19.528300711411237,72.81511702812969,21.48765299549066,3.993987545630234,116425.0,68.84843967597043,29.845242531824333,39.00319714414609,37.0,31.904252751,28.0,24.143758838,23.92149261269036,Strong Republican
