fips,Year,DrugDeaths,DrugDeathRate,Is_Suppressed,UnemploymentRate,PovertyRate,MedianIncome,RepublicanMargin,SuicideDeaths,SuicideRate,Population
01021,2019,0.0,,True,2.9,16.0,49692.0,66.25292612553758,,,44055.0
01021,2020,10.0,,False,5.4,13.9,52693.0,67.38477472812015,11.0,,44147.0
01021,2021,12.0,,False,2.8,15.5,55142.0,67.38477472812015,,,44857.0
01021,2022,14.0,,False,2.2,15.8,61823.0,67.38477472812015,,,45140.0
01021,2023,16.0,,False,2.2,15.3,59165.0,67.38477472812015,,,45140.0
01023,2018,0.0,,False,5.5,22.1,39907.0,13.672517827756453,,,13075.0
01023,2019,0.0,,True,4.9,22.6,39808.0,13.672517827756453,0.0,,12925.0
01023,2020,0.0,,False,7.3,20.4,41649.0,15.661843515541264,,,12755.0
01023,2021,0.0,,True,4.3,23.3,40601.0,15.661843515541264,0.0,,12792.0
01023,2022,0.0,,False,3.7,20.7,44458.0,15.661843515541264,,,12669.0
01023,2023,0.0,,True,4.0,24.8,47432.0,15.661843515541264,,,12669.0
01025,2018,0.0,,True,7.4,22.8,40741.0,10.674545315018037,,,24387.0
01025,2019,0.0,,True,6.1,18.4,43822.0,10.674545315018037,,,24128.0
01025,2020,0.0,,True,9.7,19.5,44178.0,11.945184621240957,,,23866.0
01025,2021,0.0,,True,5.8,19.4,45447.0,11.945184621240957,,,23346.0
01025,2022,0.0,,True,4.9,23.5,44906.0,11.945184621240957,,,23058.0
01025,2023,0.0,,True,5.0,19.0,50868.0,11.945184621240957,0.0,,23058.0
01027,2018,0.0,,False,3.8,17.6,39201.0,60.50724637681159,,,13378.0
01027,2019,0.0,,True,3.1,16.6,40562.0,60.50724637681159,,,13337.0
01027,2020,0.0,,True,4.4,14.2,44763.0,62.53968253968254,,,13285.0
01027,2021,0.0,,True,2.7,18.4,47036.0,62.53968253968254,,,14184.0
01027,2022,0.0,,True,2.2,17.0,49599.0,62.53968253968254,,,14209.0
01027,2023,0.0,,True,2.4,16.9,52077.0,62.53968253968254,,,14209.0
01029,2018,0.0,,False,4.2,16.0,46495.0,77.0514181707872,,,14938.0
01029,2019,0.0,,False,3.3,13.3,51276.0,77.0514181707872,,,14916.0
01029,2020,0.0,,True,5.0,14.2,50134.0,80.37913380379135,,,14952.0
01029,2021,0.0,,False,2.6,15.0,49769.0,80.37913380379135,,,15046.0
01029,2022,0.0,,True,2.3,15.7,49248.0,80.37913380379135,,,15144.0
01029,2023,0.0,,True,2.3,15.8,59526.0,80.37913380379135,,,15144.0
01031,2018,0.0,,True,3.9,13.8,55122.0,56.11787932777965,,,51288.0
01031,2019,0.0,,True,3.1,15.0,57299.0,56.11787932777965,,,51662.0
01031,2020,0.0,,True,4.8,13.9,54203.0,53.07744107744109,13.0,,52238.0
01031,2021,0.0,,True,2.8,15.9,55052.0,53.07744107744109,13.0,,53043.0
01031,2022,0.0,,True,2.5,15.7,62429.0,53.07744107744109,10.0,,53559.0
01031,2023,0.0,,True,2.5,16.5,64737.0,53.07744107744109,11.0,,53559.0
01033,2018,0.0,,True,4.6,13.8,49055.0,37.86474011639575,17.0,,54495.0
01033,2019,10.0,,False,4.0,14.6,46683.0,37.86474011639575,13.0,,54771.0
01033,2020,0.0,,True,7.2,14.4,54185.0,38.94427311195582,,,54957.0
01033,2021,15.0,,False,3.9,16.5,53341.0,38.94427311195582,,,56789.0
01033,2022,15.0,,False,3.0,17.3,54593.0,38.94427311195582,14.0,,57270.0
01033,2023,25.0,42.836825963,False,2.9,15.4,57770.0,38.94427311195582,17.0,,57270.0
01035,2018,0.0,,True,5.2,24.4,32613.0,5.163249810174641,0.0,,12514.0
01035,2019,0.0,,False,4.2,22.2,41539.0,5.163249810174641,,,12394.0
01035,2020,0.0,,True,7.9,22.9,34664.0,7.390156807949076,,,12219.0
01035,2021,0.0,,True,4.7,22.4,35621.0,7.390156807949076,,,11778.0
01035,2022,0.0,,True,3.4,30.1,36106.0,7.390156807949076,,,11576.0
01035,2023,0.0,,True,3.5,26.5,46702.0,7.390156807949076,,,11576.0
01037,2018,0.0,,True,4.1,18.9,42423.0,30.445544554455445,0.0,,10855.0
01037,2019,0.0,,False,3.1,17.1,42024.0,30.445544554455445,,,10757.0
01037,2020,0.0,,True,6.0,17.4,46509.0,33.491513049826615,0.0,,10696.0
01037,2021,0.0,,True,3.0,17.1,45954.0,33.491513049826615,,,10442.0
01037,2022,0.0,,True,2.5,18.1,49485.0,33.491513049826615,,,10329.0
01037,2023,0.0,,True,2.6,18.2,59736.0,33.491513049826615,,,10329.0
01039,2018,0.0,,True,4.6,19.9,40203.0,68.25595984943538,,,37351.0
01039,2019,0.0,,True,3.6,17.2,44836.0,68.25595984943538,,,37200.0
01039,2020,0.0,,True,5.4,17.1,43544.0,68.07228915662651,10.0,,37096.0
01039,2021,0.0,,True,3.0,19.8,44188.0,68.07228915662651,,,37490.0
01039,2022,12.0,,False,2.6,19.2,46958.0,68.07228915662651,,,37542.0
01039,2023,0.0,,True,2.7,16.7,50119.0,68.07228915662651,,,37542.0
01041,2018,0.0,,True,4.0,19.5,39057.0,45.46034785383756,,,13865.0
01041,2019,0.0,,True,3.0,16.8,43309.0,45.46034785383756,,,13844.0
01041,2020,0.0,,True,6.2,16.8,45927.0,47.81623092035665,,,13826.0
01041,2021,0.0,,True,3.3,17.5,38037.0,47.81623092035665,,,13300.0
01041,2022,0.0,,True,2.7,21.5,49161.0,47.81623092035665,,,13205.0
01041,2023,0.0,,True,2.7,19.5,49128.0,47.81623092035665,,,13205.0
01043,2018,19.0,,False,3.3,14.5,45796.0,77.07601721543051,14.0,,82313.0
01043,2019,14.0,,False,2.7,12.2,50897.0,77.07601721543051,17.0,,82853.0
01043,2020,17.0,,False,4.7,12.5,51844.0,77.42228381639626,21.0,24.847660179,83345.0
01043,2021,34.0,37.990524716,False,2.3,13.5,55036.0,77.42228381639626,19.0,,87129.0
01043,2022,33.0,36.397727899,False,2.0,16.2,61774.0,77.42228381639626,18.0,,88284.0
01043,2023,32.0,34.776560598,False,2.0,15.5,61231.0,77.42228381639626,18.0,,88284.0
01045,2018,0.0,,True,4.2,16.2,45309.0,50.109339164755454,14.0,,49255.0
01045,2019,0.0,,True,3.3,18.1,45120.0,50.109339164755454,,,49277.0
01045,2020,0.0,,True,5.3,15.5,48493.0,46.271152092410574,11.0,,49293.0
01045,2021,12.0,,False,3.1,15.7,50086.0,46.271152092410574,13.0,,49443.0
01045,2022,10.0,,False,2.5,20.5,50567.0,46.271152092410574,11.0,,49455.0
01045,2023,10.0,,False,2.5,16.6,54697.0,46.271152092410574,,,49455.0
01047,2018,0.0,,True,6.5,31.4,34035.0,-37.5,,,40029.0
01047,2019,0.0,,True,5.8,26.0,34034.0,-37.5,,,39149.0
01047,2020,0.0,,True,11.6,26.7,37679.0,-37.53918495297806,,,38184.0
01047,2021,0.0,,True,7.1,29.5,33159.0,-37.53918495297806,,,39162.0
01047,2022,19.0,,False,4.9,32.9,35258.0,-37.53918495297806,,,38326.0
01047,2023,12.0,,False,5.4,31.4,39013.0,-37.53918495297806,,,38326.0
01049,2018,17.0,,False,3.8,21.3,39491.0,68.85696584836985,13.0,,71200.0
01049,2019,22.0,30.763637381,False,3.0,18.2,44277.0,68.85696584836985,25.0,34.958678842,71310.0
01049,2020,19.0,,False,4.9,15.2,47156.0,69.78471181359858,15.0,,71430.0
01049,2021,19.0,,False,2.5,19.4,45062.0,69.78471181359858,11.0,,71554.0
01049,2022,22.0,30.556404345,False,2.3,18.7,50037.0,69.78471181359858,13.0,,71680.0
01049,2023,21.0,28.937976271,False,2.3,21.6,50614.0,69.78471181359858,19.0,,71680.0
01051,2018,0.0,,True,3.4,11.2,60367.0,51.50563607085347,20.0,24.42390123,81212.0
01051,2019,0.0,,True,2.8,11.4,62310.0,51.50563607085347,17.0,,81144.0
01051,2020,11.0,,False,5.2,11.5,62524.0,48.25006093102608,16.0,,81526.0
01051,2021,10.0,,False,2.7,12.0,63147.0,48.25006093102608,15.0,,87146.0
01051,2022,11.0,,False,2.1,11.7,71463.0,48.25006093102608,,,87694.0
01051,2023,21.0,23.219557502,False,2.1,12.5,73125.0,48.25006093102608,22.0,24.325250716,87694.0
01053,2018,15.0,,False,4.5,23.6,38418.0,35.904344897271805,,,37328.0
01053,2019,12.0,,False,3.7,20.5,42712.0,35.904344897271805,,,37057.0
01053,2020,13.0,,False,6.7,20.4,41212.0,37.40414833438089,,,36775.0
01053,2021,24.0,65.396877299,False,4.0,23.8,40506.0,37.40414833438089,14.0,,36879.0
01053,2022,19.0,,False,3.0,20.9,47792.0,37.40414833438089,,,36755.0
01053,2023,22.0,60.178346737,False,3.1,21.3,50333.0,37.40414833438089,,,36755.0
01055,2018,30.0,29.268007141,False,4.1,17.5,44903.0,49.61280681097727,21.0,20.487604999,102939.0
01055,2019,23.0,22.489928423,False,3.6,18.8,43047.0,49.61280681097727,22.0,21.512105448,102748.0
01055,2020,23.0,22.46730031,False,8.3,15.6,47872.0,50.20323499832384,24.0,23.444139454,102721.0
01055,2021,42.0,40.712665516,False,4.0,17.4,46308.0,50.20323499832384,19.0,,103468.0
01055,2022,45.0,43.652025454,False,3.0,17.7,55487.0,50.20323499832384,20.0,19.400900202,103348.0
01055,2023,46.0,44.555941922,False,2.8,19.6,52504.0,50.20323499832384,17.0,,103348.0
01057,2018,0.0,,True,4.1,23.5,39254.0,64.8563462237847,,,16585.0
01057,2019,0.0,,True,3.3,17.0,44212.0,64.8563462237847,,,16494.0
01057,2020,0.0,,True,5.5,16.5,45937.0,67.36253707506275,,,16406.0
01057,2021,10.0,,False,3.0,19.6,46122.0,67.36253707506275,,,16365.0
01057,2022,0.0,,True,2.7,19.5,49205.0,67.36253707506275,,,16297.0
01057,2023,0.0,,True,2.9,16.2,49235.0,67.36253707506275,,,16297.0
01059,2018,0.0,,True,3.7,19.2,39388.0,60.37375415282392,,,31542.0
01059,2019,0.0,,True,2.9,16.1,44874.0,60.37375415282392,,,31466.0
01059,2020,0.0,,True,4.9,17.2,40448.0,65.90872952774686,,,31587.0
01059,2021,0.0,,True,2.5,18.9,45440.0,65.90872952774686,,,32034.0
01059,2022,12.0,,False,2.3,18.5,49611.0,65.90872952774686,,,32011.0
01059,2023,0.0,,True,2.6,22.5,49682.0,65.90872952774686,,,32011.0
01061,2018,0.0,,True,3.9,21.3,37823.0,72.02755570675285,,,26491.0
01061,2019,0.0,,True,3.1,16.1,43089.0,72.02755570675285,,,26417.0
01061,2020,0.0,,True,4.5,21.0,39882.0,73.75846950976485,,,26383.0
01061,2021,0.0,,True,2.8,21.1,43206.0,73.75846950976485,,,26604.0
01061,2022,0.0,,True,2.3,18.6,51585.0,73.75846950976485,,,26647.0
01061,2023,0.0,,True,2.4,19.2,50006.0,73.75846950976485,10.0,,26647.0
01063,2018,0.0,,False,6.6,30.1,28524.0,-65.06147540983606,,,8426.0
01063,2019,0.0,,False,5.9,31.7,28699.0,-65.06147540983606,,,8324.0
01063,2020,0.0,,False,11.6,27.9,33609.0,-63.01570680628272,,,8221.0
01063,2021,0.0,,False,6.5,33.2,30225.0,-63.01570680628272,0.0,,7851.0
01063,2022,0.0,,False,4.2,30.0,35449.0,-63.01570680628272,,,7706.0
01063,2023,0.0,,True,4.8,31.0,34619.0,-63.01570680628272,,,7706.0
01065,2018,0.0,,True,5.1,25.6,34724.0,-19.925373134328353,,,14887.0
01065,2019,0.0,,False,4.2,20.5,40745.0,-19.925373134328353,,,14809.0
01065,2020,0.0,,True,10.2,21.9,41836.0,-18.620253164556956,,,14754.0
01065,2021,0.0,,True,5.5,22.1,41995.0,-18.620253164556956,,,14819.0
01065,2022,0.0,,True,3.8,22.9,44702.0,-18.620253164556956,,,14742.0
01065,2023,0.0,,True,3.3,23.0,42380.0,-18.620253164556956,,,14742.0
01067,2018,0.0,,False,4.4,17.9,46027.0,41.37760158572844,,,17124.0
01067,2019,0.0,,False,3.8,17.2,48597.0,41.37760158572844,,,17133.0
01067,2020,0.0,,True,5.3,16.2,51126.0,43.030759303075925,,,17123.0
01067,2021,0.0,,True,3.1,15.6,56389.0,43.030759303075925,,,17165.0
01067,2022,0.0,,True,2.7,15.8,56702.0,43.030759303075925,,,17282.0
01067,2023,0.0,,True,2.6,16.4,55598.0,43.030759303075925,,,17282.0
01069,2018,17.0,,False,4.0,16.5,47993.0,47.05551255892492,20.0,19.098183763,104352.0
01069,2019,12.0,,False,3.2,19.4,50138.0,47.05551255892492,20.0,18.888951852,104702.0
01069,2020,18.0,,False,5.9,14.8,54391.0,42.667792865960635,16.0,,105319.0
01069,2021,13.0,,False,3.3,19.1,48701.0,42.667792865960635,28.0,26.056691917,106355.0
01069,2022,24.0,22.20597896,False,2.5,17.2,56842.0,42.667792865960635,18.0,,107040.0
01069,2023,16.0,,False,2.6,16.5,59412.0,42.667792865960635,22.0,20.28360163,107040.0
01071,2018,0.0,,True,4.1,19.7,41929.0,61.94719786504004,15.0,,52094.0
01071,2019,0.0,,True,3.5,14.7,44322.0,61.94719786504004,,,51852.0
01071,2020,0.0,,True,5.8,15.3,46606.0,67.49449991538332,,,51765.0
01071,2021,0.0,,True,2.8,18.9,46998.0,67.49449991538332,,,52548.0
01071,2022,12.0,,False,2.4,16.1,51965.0,67.49449991538332,10.0,,52618.0
01071,2023,11.0,,False,2.5,16.0,51479.0,67.49449991538332,,,52618.0
01073,2018,251.0,38.070681025,False,3.7,16.1,55013.0,-7.26681591500077,83.0,12.589109662,659892.0
01073,2019,261.0,39.631141878,False,3.0,16.2,54127.0,-7.26681591500077,104.0,15.791719369,659680.0
01073,2020,362.0,55.238333572,False,6.7,14.4,57802.0,-13.148768751074115,85.0,12.970326944,658615.0
01073,2021,415.0,62.142493486,False,3.5,16.9,55210.0,-13.148768751074115,92.0,13.776167231,672550.0
01073,2022,403.0,60.564254466,False,2.5,16.4,61996.0,-13.148768751074115,105.0,15.779768533,672265.0
01073,2023,450.0,67.884054036,False,2.5,16.0,64726.0,-13.148768751074115,78.0,11.766569366,672265.0
01075,2018,0.0,,False,3.8,17.4,40936.0,68.71949468848695,,,13933.0
01075,2019,0.0,,False,3.3,15.3,42686.0,68.71949468848695,,,13885.0
01075,2020,0.0,,True,5.3,17.4,40204.0,72.23689698317808,,,13854.0
01075,2021,0.0,,True,3.0,17.0,44265.0,72.23689698317808,,,13929.0
01075,2022,0.0,,True,2.6,18.1,51523.0,72.23689698317808,,,13885.0
01075,2023,0.0,,True,2.8,16.4,50929.0,72.23689698317808,0.0,,13885.0
01077,2018,15.0,,False,4.2,14.0,48707.0,45.4067046173308,11.0,,92585.0
01077,2019,11.0,,False,3.5,15.7,48188.0,45.4067046173308,12.0,,92556.0
01077,2020,0.0,,True,6.1,13.9,52293.0,44.66947833735537,19.0,,92870.0
01077,2021,19.0,,False,3.1,16.2,52222.0,44.66947833735537,,,93342.0
01077,2022,29.0,30.246771939,False,2.6,13.3,59023.0,44.66947833735537,15.0,,94329.0
01077,2023,25.0,25.822711591,False,2.5,13.6,63895.0,44.66947833735537,29.0,29.954345446,94329.0
01079,2018,0.0,,True,4.1,19.3,43909.0,48.59397127250658,12.0,,33171.0
01079,2019,0.0,,True,3.3,17.7,47797.0,48.59397127250658,,,33058.0
01079,2020,0.0,,True,5.4,15.4,48924.0,54.64412700392988,,,32969.0
01079,2021,0.0,,False,2.9,13.9,55555.0,54.64412700392988,,,33089.0
01079,2022,0.0,,True,2.3,16.4,55516.0,54.64412700392988,,,33116.0
01079,2023,0.0,,True,2.3,14.2,61064.0,54.64412700392988,,,33116.0
01081,2018,10.0,,False,3.6,19.0,48937.0,22.616614012265373,22.0,13.41946188,159287.0
01081,2019,11.0,,False,2.9,15.5,54160.0,22.616614012265373,24.0,14.585941583,161152.0
01081,2020,18.0,,False,5.7,17.9,58963.0,20.099651499671097,21.0,12.587588638,163461.0
01081,2021,24.0,13.542642395,False,2.8,18.0,54188.0,20.099651499671097,22.0,12.414088862,172223.0
01081,2022,19.0,,False,2.3,15.0,59637.0,20.099651499671097,34.0,18.808118469,175126.0
01081,2023,36.0,19.649046202,False,2.3,17.9,62301.0,20.099651499671097,18.0,,175126.0
01083,2018,0.0,,True,3.5,11.4,64863.0,48.63999602918548,21.0,21.835423295,93052.0
01083,2019,0.0,,True,2.8,12.0,64729.0,48.63999602918548,,,94727.0
01083,2020,0.0,,True,4.6,10.4,70850.0,42.58759012897329,15.0,,96921.0
01083,2021,10.0,,False,2.4,9.9,69207.0,42.58759012897329,21.0,19.531794972,101217.0
01083,2022,10.0,,False,2.0,9.9,83159.0,42.58759012897329,18.0,,104199.0
01083,2023,14.0,,False,2.1,8.6,81811.0,42.58759012897329,18.0,,104199.0
01085,2018,0.0,,False,7.3,25.1,33973.0,-46.858168761220824,,,10236.0
